id,sources,smirks
EVODEX.0-E1024,EVODEX.0-P16290,[H]OC(=O)C(N([H])[H])(C([H])([H])O[H])[C:35]([O:36])([H:44])[H:45]>>[H]N=C1:N([H]):C2:C(:C(=O):N:1[H])N1[C@]([H])(C([H])([H])N2[H])C([H])([H])N(C2:C([H]):C([H]):C(C(=O)N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H]):C([H]):C:2[H])[C:35]1([H:44])[H:45].[H]
EVODEX.0-E103,"EVODEX.0-P1934,EVODEX.0-P3753,EVODEX.0-P3757,EVODEX.0-P47268",[H][C:3]([C:2])([O:4][H])[C:5]([H])([O:6][H])[H:18]>>[C:2][C:3](=[O:4])[C:5](=[O:6])[H:18]
EVODEX.0-E1031,"EVODEX.0-P31780,EVODEX.0-P31800",[H][C:1]([C:2])([H:62])[H:63].[C:8][C:9](=[O:10])[O:11]>>[C:1]([C:2])([C:9](=[O:10])[O:11])([H:62])[H:63].[H]
EVODEX.0-E1033,"EVODEX.0-P16411,EVODEX.0-P16421,EVODEX.0-P16431,EVODEX.0-P16441,EVODEX.0-P16461,EVODEX.0-P16484",[H]OP(=O)(O[H])O[C:2]([N:1])=[O:3].[H][N:9]([C:10])[H:22]>>[N:1][C:2](=[O:3])[N:9]([C:10])[H:22]
EVODEX.0-E1036,"EVODEX.0-P16416,EVODEX.0-P16436,EVODEX.0-P42364,EVODEX.0-P42375,EVODEX.0-P42386,EVODEX.0-P42397,EVODEX.0-P43015,EVODEX.0-P43026,EVODEX.0-P43422,EVODEX.0-P43455,EVODEX.0-P43507,EVODEX.0-P43540,EVODEX.0-P43829,EVODEX.0-P43840,EVODEX.0-P43850,EVODEX.0-P44308,EVODEX.0-P44457",[H]N([H])C(=O)[N:4]([C:5])[H:13]>>[H][N:4]([C:5])[H:13]
EVODEX.0-E1038,"EVODEX.0-P16446,EVODEX.0-P16451,EVODEX.0-P16489,EVODEX.0-P16494,EVODEX.0-P16499,EVODEX.0-P16504",[H]OP(=O)(O[H])O[C:2]([N:1])=[O:3].[H][O:27][C:26]>>[N:1][C:2](=[O:3])[O:27][C:26]
EVODEX.0-E1048,"EVODEX.0-P16550,EVODEX.0-P16556,EVODEX.0-P16562,EVODEX.0-P16567,EVODEX.0-P16612",[O:15]=[C:16]([C:17])[H:29].[H][O:6][C@:5]([C:2](=[O:1])[C:3])([C:7])[H:42]>>[C:5](=[O:6])([C:7])[H:42].[H][O:15][C@:16]([C:2](=[O:1])[C:3])([C:17])[H:29]
EVODEX.0-E1054,"EVODEX.0-P16572,EVODEX.0-P16578",[O:19]=[C:20]([C:21])[H:29].[H][O:10][C@@:9]([C:7])([C@:11]([O:12])([C:13])[H:44])[H:42]>>[H][O:19][C@:20]([C@:11]([O:12])([C:13])[H:44])([C:21])[H:29].[C:7][C:9](=[O:10])[H:42]
EVODEX.0-E1057,"EVODEX.0-P16584,EVODEX.0-P16756,EVODEX.0-P16771",[H][O:22][C:21]1([C:23])[O:20][C:19][C@:27]([O:28][H])([H:40])[C@@:25]1([O:26])[H:38].[O:1]=[C:2]([C:3])[H:42]>>[C:19][C:27](=[O:28])[H:40].[H].[H][O:1][C@:2]([C:3])([C@@:25]([C:21](=[O:22])[C:23])([O:26])[H:38])[H:42]
EVODEX.0-E1062,"EVODEX.0-P16590,EVODEX.0-P16761,EVODEX.0-P16766",[H][O:22][C:21][C:20](=[O:19])[H:29].[H][O:8][C@@:7]([C@@:5]([C:2](=[O:1])[C:3])([O:6])[H:38])([C:9])[H:40]>>[C:7](=[O:8])([C:9])[H:40].[H][O:1][C:2]1([C:3])[C@:5]([O:6])([H:38])[C@@:20]([O:19][H])([H:29])[C:21][O:22]1
EVODEX.0-E1069,"EVODEX.0-P16618,EVODEX.0-P16751",[H][O:7][C:4]([C:2]([C:1])=[O:3])([C:5])[C:6].[O:8]=[C:9]([C:10])[H:32]>>[C:4]([C:5])([C:6])=[O:7].[H][O:8][C@:9]([C:2]([C:1])=[O:3])([C:10])[H:32]
EVODEX.0-E1071,"EVODEX.0-P16624,EVODEX.0-P16629,EVODEX.0-P16634,EVODEX.0-P16639",[O:11]=[C:12]([C:13]=[O:14])[H:16].[H]OC(=O)[C:6]([C:5])=[O:7]>>[H][O:11][C:12]([C:6]([C:5])=[O:7])([C:13])[H:16]
EVODEX.0-E1076,"EVODEX.0-P16644,EVODEX.0-P16646",[H]OC(=O)[C:2]([C:1])=[O:3].[C:7][C:8](=[O:9])[C:10]=[O:11]>>[H][O:9][C:8]([C:2]([C:1])=[O:3])([C:7])[C:10]
EVODEX.0-E1077,"EVODEX.0-P16650,EVODEX.0-P25538,EVODEX.0-P46022,EVODEX.0-P46055,EVODEX.0-P46059,EVODEX.0-P46333,EVODEX.0-P46338,EVODEX.0-P46339,EVODEX.0-P46344,EVODEX.0-P46347,EVODEX.0-P46496,EVODEX.0-P46498,EVODEX.0-P46504,EVODEX.0-P46507,EVODEX.0-P46508,EVODEX.0-P46531,EVODEX.0-P46533,EVODEX.0-P46542",[H]OC(=O)[C:4](=[O:5])[C:6]>>[H][C:4](=[O:5])[C:6]
EVODEX.0-E108,"EVODEX.0-P1983,EVODEX.0-P27117,EVODEX.0-P7695,EVODEX.0-P7700",[H][C:1]([H])([C:2])[H:12]>>O=[C:1]([C:2])[H:12]
EVODEX.0-E1080,"EVODEX.0-P16655,EVODEX.0-P16660,EVODEX.0-P16665,EVODEX.0-P16669,EVODEX.0-P16700,EVODEX.0-P16705,EVODEX.0-P16710,EVODEX.0-P46026,EVODEX.0-P46030",[O:11]=[C:12]([C:13])[H:20].[H]OC(=O)[C:6]([C:5])=[O:7]>>[H][O:11][C@@:12]([C:6]([C:5])=[O:7])([C:13])[H:20]
EVODEX.0-E1084,"EVODEX.0-P46811,EVODEX.0-P47024",[H]OC(=O)[C@@]([H])(N([H])[H])[C@@:2]([C:1])([O:3][H])[H:16]>>[C:1][C:2](=[O:3])[H:16]
EVODEX.0-E1086,"EVODEX.0-P16686,EVODEX.0-P46813",[O:9]=[C:10]([C:11])[H:22]>>[H]OC(=O)[C@@]([H])(N([H])[H])[C@:10]([O:9][H])([C:11])[H:22]
EVODEX.0-E1088,"EVODEX.0-P16720,EVODEX.0-P16726",[C:2](=[O:3])[C:4](=[O:5])[H:29].[H][O:15][C@:14]1([C:16])[O:13][C:12][C@:24]([O:25][H])([H:42])[C@@:22]1([O:23])[H:40]>>[H][O:5][C@:4]([C:2])([C@@:22]([C:14](=[O:15])[C:16])([O:23])[H:40])[H:29].[C:12][C:24](=[O:25])[H:42].[H]
EVODEX.0-E109,"EVODEX.0-P13242,EVODEX.0-P13246,EVODEX.0-P13254,EVODEX.0-P13273,EVODEX.0-P13275,EVODEX.0-P13277,EVODEX.0-P13285,EVODEX.0-P13289,EVODEX.0-P1986",[H][C:2]([C:1])([C:3]([H])([C:4])[H:18])[H:16]>>[C:1][C:2](=[C:3]([C:4])[H:18])[H:16]
EVODEX.0-E1092,"EVODEX.0-P16732,EVODEX.0-P16737,EVODEX.0-P16742,EVODEX.0-P16747",[H]OC(=O)[C:2]([C:1])=[O:3].[C:11]/[C:12](=[C:13](/[C:14]=[O:15])[H:32])[H:31]>>[H][C:13]([C@:12]([C:2]([C:1])=[O:3])([C:11])[H:31])([C:14])[H:32]
EVODEX.0-E1094,EVODEX.0-P18461,[C:1][C:2](=[O:3])[S:4].[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100].[H]
EVODEX.0-E1095,"EVODEX.0-P16813,EVODEX.0-P16818,EVODEX.0-P16823,EVODEX.0-P16828,EVODEX.0-P16838,EVODEX.0-P16843,EVODEX.0-P17027,EVODEX.0-P17151,EVODEX.0-P17156,EVODEX.0-P17161,EVODEX.0-P17166,EVODEX.0-P17296,EVODEX.0-P17301,EVODEX.0-P17623,EVODEX.0-P17628,EVODEX.0-P17633,EVODEX.0-P17638,EVODEX.0-P17643,EVODEX.0-P17648,EVODEX.0-P17663,EVODEX.0-P17668,EVODEX.0-P17673,EVODEX.0-P17678,EVODEX.0-P17683,EVODEX.0-P17688,EVODEX.0-P17693,EVODEX.0-P17756,EVODEX.0-P17766,EVODEX.0-P17920,EVODEX.0-P17925,EVODEX.0-P17930,EVODEX.0-P17955,EVODEX.0-P17960,EVODEX.0-P17965,EVODEX.0-P17970,EVODEX.0-P17975,EVODEX.0-P17980,EVODEX.0-P17985,EVODEX.0-P17990,EVODEX.0-P17995,EVODEX.0-P18000,EVODEX.0-P18005,EVODEX.0-P18010,EVODEX.0-P18035,EVODEX.0-P18040,EVODEX.0-P18045,EVODEX.0-P18050,EVODEX.0-P18131,EVODEX.0-P18136,EVODEX.0-P18141,EVODEX.0-P18146,EVODEX.0-P18276,EVODEX.0-P18281,EVODEX.0-P18311,EVODEX.0-P18316,EVODEX.0-P18321,EVODEX.0-P18326,EVODEX.0-P18331,EVODEX.0-P18336,EVODEX.0-P18381,EVODEX.0-P18386,EVODEX.0-P18391,EVODEX.0-P18401,EVODEX.0-P18613,EVODEX.0-P18623,EVODEX.0-P18628,EVODEX.0-P18696,EVODEX.0-P18934,EVODEX.0-P18939,EVODEX.0-P18968,EVODEX.0-P18973,EVODEX.0-P18978,EVODEX.0-P19034,EVODEX.0-P19097,EVODEX.0-P19166,EVODEX.0-P19176,EVODEX.0-P19371,EVODEX.0-P19430,EVODEX.0-P19435,EVODEX.0-P19440,EVODEX.0-P19445,EVODEX.0-P19469,EVODEX.0-P19479,EVODEX.0-P19516,EVODEX.0-P19546,EVODEX.0-P19551,EVODEX.0-P19557,EVODEX.0-P19562,EVODEX.0-P19567,EVODEX.0-P19572,EVODEX.0-P19577,EVODEX.0-P19583,EVODEX.0-P19747",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100]
EVODEX.0-E1097,"EVODEX.0-P16779,EVODEX.0-P16784,EVODEX.0-P16790",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[C:2]([C:1])=[O:3]
EVODEX.0-E11,"EVODEX.0-P102,EVODEX.0-P106,EVODEX.0-P1405,EVODEX.0-P1948,EVODEX.0-P1954,EVODEX.0-P1959,EVODEX.0-P1963,EVODEX.0-P682,EVODEX.0-P688,EVODEX.0-P713,EVODEX.0-P957,EVODEX.0-P969,EVODEX.0-P975",[H][C:111]([H])([C:110])[O:112]>>O=[C:111]([C:110])[O:112]
EVODEX.0-E110,"EVODEX.0-P1988,EVODEX.0-P3858,EVODEX.0-P6196",[C:1][C:2](=[C:3]([C:4])[H:17])[H:16]>>[H][C:2]([C:1])([C:3]([H])([C:4])[H:17])[H:16]
EVODEX.0-E1100,"EVODEX.0-P16795,EVODEX.0-P16969,EVODEX.0-P17809,EVODEX.0-P17815",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:49](=[O:50])[C:51])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]OC(=O)[C@@]([H])(N([H])[C:49](=[O:50])[C:51])C([H])([H])C([H])([H])C(=O)N([H])[H]
EVODEX.0-E1102,"EVODEX.0-P16798,EVODEX.0-P16803",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][N:54]1:[C:53]:[C:52]:[N:56]:[C:55]:1>>[C:1][C:2](=[O:3])[N:56]1:[C:52]:[C:53]:[N:54]:[C:55]:1
EVODEX.0-E1106,"EVODEX.0-P16848,EVODEX.0-P18396",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:52][N:53]>>[C:1][C:2](=[O:3])[O:52][N:53]
EVODEX.0-E1107,"EVODEX.0-P16852,EVODEX.0-P19705,EVODEX.0-P38057,EVODEX.0-P38063,EVODEX.0-P38862,EVODEX.0-P38894,EVODEX.0-P38906,EVODEX.0-P40231,EVODEX.0-P40243,EVODEX.0-P40285,EVODEX.0-P41669,EVODEX.0-P41687,EVODEX.0-P42336,EVODEX.0-P42455,EVODEX.0-P42466,EVODEX.0-P42497,EVODEX.0-P42627,EVODEX.0-P42648,EVODEX.0-P42658,EVODEX.0-P42688,EVODEX.0-P42697,EVODEX.0-P43469,EVODEX.0-P43614,EVODEX.0-P43799,EVODEX.0-P43970",[C:1][C:2](=[O:3])[O:4].[H][N:5]([C:6])[H:17]>>[C:1][C:2](=[O:3])[N:5]([C:6])[H:17].[H]
EVODEX.0-E1109,"EVODEX.0-P18949,EVODEX.0-P18955,EVODEX.0-P18961,EVODEX.0-P19381,EVODEX.0-P19386,EVODEX.0-P19391,EVODEX.0-P19397",[C:1][C:2](=[O:3])[S:4].[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53].[H]
EVODEX.0-E1110,"EVODEX.0-P16859,EVODEX.0-P16874,EVODEX.0-P16884,EVODEX.0-P16984,EVODEX.0-P16989,EVODEX.0-P16994,EVODEX.0-P17000,EVODEX.0-P17032,EVODEX.0-P17037,EVODEX.0-P17042,EVODEX.0-P17047,EVODEX.0-P17075,EVODEX.0-P17080,EVODEX.0-P17086,EVODEX.0-P17091,EVODEX.0-P17096,EVODEX.0-P17107,EVODEX.0-P17118,EVODEX.0-P17123,EVODEX.0-P17128,EVODEX.0-P17140,EVODEX.0-P17171,EVODEX.0-P17176,EVODEX.0-P17181,EVODEX.0-P17186,EVODEX.0-P17191,EVODEX.0-P17196,EVODEX.0-P17206,EVODEX.0-P17211,EVODEX.0-P17256,EVODEX.0-P17267,EVODEX.0-P17413,EVODEX.0-P17423,EVODEX.0-P17428,EVODEX.0-P17455,EVODEX.0-P17465,EVODEX.0-P17470,EVODEX.0-P17475,EVODEX.0-P17480,EVODEX.0-P17485,EVODEX.0-P17490,EVODEX.0-P17496,EVODEX.0-P17581,EVODEX.0-P17586,EVODEX.0-P17591,EVODEX.0-P17596,EVODEX.0-P17713,EVODEX.0-P17719,EVODEX.0-P17724,EVODEX.0-P17729,EVODEX.0-P17791,EVODEX.0-P17796,EVODEX.0-P17801,EVODEX.0-P17818,EVODEX.0-P17823,EVODEX.0-P17828,EVODEX.0-P17833,EVODEX.0-P17867,EVODEX.0-P17872,EVODEX.0-P17892,EVODEX.0-P17897,EVODEX.0-P17935,EVODEX.0-P17940,EVODEX.0-P17945,EVODEX.0-P18015,EVODEX.0-P18020,EVODEX.0-P18025,EVODEX.0-P18030,EVODEX.0-P18121,EVODEX.0-P18126,EVODEX.0-P18256,EVODEX.0-P18266,EVODEX.0-P18341,EVODEX.0-P18346,EVODEX.0-P18351,EVODEX.0-P18356,EVODEX.0-P18361,EVODEX.0-P18366,EVODEX.0-P18371,EVODEX.0-P18376,EVODEX.0-P18417,EVODEX.0-P18422,EVODEX.0-P18427,EVODEX.0-P18432,EVODEX.0-P18437,EVODEX.0-P18573,EVODEX.0-P18598,EVODEX.0-P18649,EVODEX.0-P18654,EVODEX.0-P18752,EVODEX.0-P18757,EVODEX.0-P18762,EVODEX.0-P18772,EVODEX.0-P18826,EVODEX.0-P18831,EVODEX.0-P18836,EVODEX.0-P18841,EVODEX.0-P18846,EVODEX.0-P18851,EVODEX.0-P18867,EVODEX.0-P18872,EVODEX.0-P18877,EVODEX.0-P18882,EVODEX.0-P18887,EVODEX.0-P18892,EVODEX.0-P18897,EVODEX.0-P18902,EVODEX.0-P18929,EVODEX.0-P18983,EVODEX.0-P18988,EVODEX.0-P18998,EVODEX.0-P19003,EVODEX.0-P19072,EVODEX.0-P19077,EVODEX.0-P19082,EVODEX.0-P19087,EVODEX.0-P19092,EVODEX.0-P19103,EVODEX.0-P19108,EVODEX.0-P19127,EVODEX.0-P19171,EVODEX.0-P19181,EVODEX.0-P19339,EVODEX.0-P19344,EVODEX.0-P19377,EVODEX.0-P19521,EVODEX.0-P19531,EVODEX.0-P19536,EVODEX.0-P19541,EVODEX.0-P19609,EVODEX.0-P19615,EVODEX.0-P19620,EVODEX.0-P19626",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53]
EVODEX.0-E1112,"EVODEX.0-P33407,EVODEX.0-P33511",[H][S:48][C:47].[H]O[C:81](=[O:80])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83]
EVODEX.0-E1117,"EVODEX.0-P16896,EVODEX.0-P17054,EVODEX.0-P17065,EVODEX.0-P17071,EVODEX.0-P19331",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]OP(=O)(O[H])O[C:2]([C:1])=[O:3]
EVODEX.0-E1119,EVODEX.0-P16904,[H]OP(=O)(O[H])O[C:2]([C:1])=[O:3].[H][S:56][C:55]>>[C:1][C:2](=[O:3])[S:56][C:55]
EVODEX.0-E1120,"EVODEX.0-P16901,EVODEX.0-P17059,EVODEX.0-P19336",[H]OP(=O)(O[H])O[C:2]([C:1])=[O:3]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1
EVODEX.0-E1121,"EVODEX.0-P18467,EVODEX.0-P19635,EVODEX.0-P19650,EVODEX.0-P40842,EVODEX.0-P40848,EVODEX.0-P40853,EVODEX.0-P40859",[N:7][C:8](=[O:9])[C:10].[H][N:52]([C:53])[H:94]>>[C:8](=[O:9])([C:10])[N:52]([C:53])[H:94].[H]
EVODEX.0-E1122,EVODEX.0-P18860,[S:48][C:49](=[O:50])[C:51].[H][S:67][C:66]>>[C:49](=[O:50])([C:51])[S:67][C:66].[H]
EVODEX.0-E1123,"EVODEX.0-P16934,EVODEX.0-P17392,EVODEX.0-P17397,EVODEX.0-P17698,EVODEX.0-P17703,EVODEX.0-P17708,EVODEX.0-P17877,EVODEX.0-P17882,EVODEX.0-P18856,EVODEX.0-P19349",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:49](=[O:50])[C:51])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][S:67][C:66]>>[C:49](=[O:50])([C:51])[S:67][C:66]
EVODEX.0-E1125,"EVODEX.0-P16947,EVODEX.0-P16953,EVODEX.0-P16958,EVODEX.0-P16963,EVODEX.0-P16975,EVODEX.0-P16980,EVODEX.0-P17763,EVODEX.0-P17840,EVODEX.0-P17846,EVODEX.0-P17852,EVODEX.0-P19051,EVODEX.0-P19057",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:49](=[O:50])[C:51])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]OC(=O)C([H])([H])N([H])[C:49](=[O:50])[C:51]
EVODEX.0-E113,EVODEX.0-P2043,[O:2][C:3]1=[C:4]([O:5])[C:7](=[O:8])[C:9]([C:10])=[C:60]([C:61])[C:62]1=[O:63]>>[H][O:8][C:7]1:[C:4]([O:5]):[C:3]([O:2]):[C:62]([O:63][H]):[C:60]([C:61]):[C:9]:1[C:10]
