id,sources,smirks
EVODEX.0-E1,"EVODEX.0-P1009,EVODEX.0-P1023,EVODEX.0-P1104,EVODEX.0-P1221,EVODEX.0-P1229,EVODEX.0-P1235,EVODEX.0-P1239,EVODEX.0-P1287,EVODEX.0-P13,EVODEX.0-P1301,EVODEX.0-P1327,EVODEX.0-P1357,EVODEX.0-P1401,EVODEX.0-P1411,EVODEX.0-P1435,EVODEX.0-P1444,EVODEX.0-P1576,EVODEX.0-P163,EVODEX.0-P1639,EVODEX.0-P167,EVODEX.0-P172,EVODEX.0-P174,EVODEX.0-P18,EVODEX.0-P1847,EVODEX.0-P1918,EVODEX.0-P1992,EVODEX.0-P2,EVODEX.0-P2007,EVODEX.0-P2137,EVODEX.0-P2193,EVODEX.0-P24,EVODEX.0-P344,EVODEX.0-P356,EVODEX.0-P360,EVODEX.0-P368,EVODEX.0-P390,EVODEX.0-P398,EVODEX.0-P412,EVODEX.0-P416,EVODEX.0-P425,EVODEX.0-P498,EVODEX.0-P547,EVODEX.0-P584,EVODEX.0-P623,EVODEX.0-P666,EVODEX.0-P78,EVODEX.0-P82,EVODEX.0-P827,EVODEX.0-P903,EVODEX.0-P923,EVODEX.0-P949,EVODEX.0-P951",[O:45]=[C:46]([C:47])[H:86]>>[H][O:45][C:46]([H])([C:47])[H:86]
EVODEX.0-E10,"EVODEX.0-P1027,EVODEX.0-P1624,EVODEX.0-P1688,EVODEX.0-P1765,EVODEX.0-P1791,EVODEX.0-P1795,EVODEX.0-P1969,EVODEX.0-P654,EVODEX.0-P889,EVODEX.0-P943",[O:45]=[C:46]([O:47])[C:55]>>[H][O:45][C@@:46]([H])([O:47])[C:55]
EVODEX.0-E1000,EVODEX.0-P16177,[H]C1([H])[N:9]([C:5])[C:31][C:30][N:11]1[C:12]>>[H][N:9]([C:5])[C:31][C:30][N:11]([H])[C:12]
EVODEX.0-E1002,"EVODEX.0-P16207,EVODEX.0-P16222,EVODEX.0-P18193",[H][N:35]([C:36])[H:53].[N:12][C:13](=[O:14])[H:75]>>[C:13](=[O:14])([N:35]([C:36])[H:53])[H:75].[H]
EVODEX.0-E1003,"EVODEX.0-P16193,EVODEX.0-P16213,EVODEX.0-P16229,EVODEX.0-P16359,EVODEX.0-P16364",[H][N:35]([C:36])[H:53].[H]N=C1:N([H]):C2:C(:C(=O):N:1[H])N([H])C([H])(C([H])([H])N(C1:C([H]):C([H]):C(C(=O)N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H]):C([H]):C:1[H])[C:13](=[O:14])[H:75])C([H])([H])N2[H]>>[C:13](=[O:14])([N:35]([C:36])[H:53])[H:75]
EVODEX.0-E1004,EVODEX.0-P43606,[H][N:35]([C:36])[H:53]>>[H]C(=O)[N:35]([C:36])[H:53]
EVODEX.0-E1005,"EVODEX.0-P18187,EVODEX.0-P18199",[H][N:12]([C:11])[C:13].[O:33]=[C:34]([N:35])[H:76]>>[H].[C:11][N:12]([C:13])[C:34](=[O:33])[H:76]
EVODEX.0-E1006,"EVODEX.0-P42430,EVODEX.0-P42437,EVODEX.0-P42442,EVODEX.0-P42447,EVODEX.0-P43065,EVODEX.0-P43070,EVODEX.0-P43560,EVODEX.0-P43565,EVODEX.0-P43570,EVODEX.0-P43601,EVODEX.0-P43752,EVODEX.0-P43785",[H]C(=O)[N:4]([C:5])[H:15]>>[H][N:4]([C:5])[H:15]
EVODEX.0-E1013,"EVODEX.0-P16255,EVODEX.0-P16260",[H][N:21]([C:17])[C:22].[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[C:2](=[N:1])[H:69]>>[N:1]=[C:2]([N:21]([C:17])[C:22])[H:69]
EVODEX.0-E1015,EVODEX.0-P16273,[H]OC(=O)[C@](N([H])[H])(C([H])([H])[H])[C:4]([O:5])([H:46])[H:47]>>[H]N=C1:N([H]):C2:C(:C(=O):N:1[H])N1[C@]([H])(C([H])([H])N2[H])C([H])([H])N(C2:C([H]):C([H]):C(C(=O)N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)O[H]):C([H]):C:2[H])[C:4]1([H:46])[H:47].[H]
